NO,구분,고객번호,구분1,본부명,센터,팀,국사,고객번호
207,대상,0322026017,#N/A,5.전남/전북,전남액세스운용센터,여수운용팀,여천,0322026017
208,대상,0322027089,#N/A,5.전남/전북,전남액세스운용센터,고흥운용팀,고흥,0322027089
209,대상,0322015975,#N/A,5.전남/전북,전남액세스운용센터,고흥운용팀,보성,0322015975
212,대상,0322126828,#N/A,5.전남/전북,전남액세스운용센터,목포운용팀,동목포,0322126828
213,대상,0322080788,#N/A,5.전남/전북,전남액세스운용센터,목포운용팀,목포,0322080788
214,대상,0322012086,#N/A,5.전남/전북,전남액세스운용센터,목포운용팀,하당,0322012086
215,대상,0322055805,#N/A,5.전남/전북,전남액세스운용센터,해남운용팀,완도,0322055805
216,대상,0322055315,#N/A,5.전남/전북,전남액세스운용센터,해남운용팀,장흥,0322055315
217,대상,1216016655,estate,5.전남/전북,전북액세스운용센터,북전주운용팀,동전주,1216016655
219,대상,1216027304,#N/A,5.전남/전북,전북액세스운용센터,북전주운용팀,북전주,1216027304
220,대상,1216112435,estate,5.전남/전북,전북액세스운용센터,북전주운용팀,정보통신센타,1216112435
221,대상,1216023834,estate,5.전남/전북,전북액세스운용센터,전주운용팀,남전주,1216023834
222,대상,1216058422,#N/A,5.전남/전북,전북액세스운용센터,전주운용팀,무주,1216058422
223,대상,1216069571,#N/A,5.전남/전북,전북액세스운용센터,전주운용팀,장수,1216069571
224,대상,1216023754,estate,5.전남/전북,전북액세스운용센터,전주운용팀,전주(본동),1216023754
225,대상,1216038310,#N/A,5.전남/전북,전북액세스운용센터,군산운용팀,군산,1216038310
226,대상,1216038285,estate,5.전남/전북,전북액세스운용센터,군산운용팀,서군산,1216038285
228,대상,1216035466,#N/A,5.전남/전북,전북액세스운용센터,익산운용팀,부송,1216035466
229,대상,1216036054,#N/A,5.전남/전북,전북액세스운용센터,익산운용팀,익산,1216036054
230,대상,1216036580,#N/A,5.전남/전북,전북액세스운용센터,익산운용팀,함열,1216036580
231,대상,1216028553,#N/A,5.전남/전북,전북액세스운용센터,남원운용팀,남원,1216028553
232,대상,1216068199,#N/A,5.전남/전북,전북액세스운용센터,남원운용팀,임실,1216068199
233,대상,1216030988,#N/A,5.전남/전북,전북액세스운용센터,정읍운용팀,정읍,1216030988
234,대상,0631560656,무선,6.충남/충북,충남/충북ICT기술담당,엔지니어링기술부,탄방,0631560656
236,대상,0622238158,비통신,비통신,충남액세스운용센터,둔산운용팀,대덕1센터,0622238158
237,대상,0622060865,#N/A,6.충남/충북,충남액세스운용센터,둔산운용팀,둔산,0622060865
238,대상,0622129917,#N/A,6.충남/충북,충남액세스운용센터,둔산운용팀,북대전(가정),0622129917
239,대상,0622061070,#N/A,6.충남/충북,충남액세스운용센터,둔산운용팀,유성,0622061070
240,대상,0622027322,#N/A,6.충남/충북,충남액세스운용센터,대전운용팀,금산,0622027322
241,대상,0622070747,estate,6.충남/충북,충남액세스운용센터,대전운용팀,대전,0622070747
242,대상,0622069241,#N/A,6.충남/충북,충남액세스운용센터,대전운용팀,동대전,0622069241
243,대상,0622059868,#N/A,6.충남/충북,충남액세스운용센터,서대전운용팀,구봉,0622059868
244,대상,0622065824,#N/A,6.충남/충북,충남액세스운용센터,서대전운용팀,논산,0622065824
245,대상,0622043171,비통신,비통신,충남액세스운용센터,서대전운용팀,대전인재개발원,0622043171
246,대상,0622043162,#N/A,6.충남/충북,충남액세스운용센터,서대전운용팀,서대전,0622043162
247,대상,0622045785,#N/A,6.충남/충북,충남액세스운용센터,서대전운용팀,연무,0622045785
249,대상,0622237907,비통신,비통신,충남액세스운용센터,세종운용팀,대덕2센터,0622237907
250,대상,0636632276,#N/A,6.충남/충북,충남액세스운용센터,세종운용팀,어진,0636632276
251,대상,0622110874,#N/A,6.충남/충북,충남액세스운용센터,세종운용팀,조치원(세종),0622110874
252,대상,0622183858,#N/A,6.충남/충북,충남액세스운용센터,용전운용팀,신탄진,0622183858
253,대상,0622069134,#N/A,6.충남/충북,충남액세스운용센터,용전운용팀,용전,0622069134
254,대상,0622233901,#N/A,6.충남/충북,충남액세스운용센터,천안운용팀,남천안,0622233901
255,대상,0622193115,#N/A,6.충남/충북,충남액세스운용센터,천안운용팀,아산,0622193115
256,대상,0622232788,#N/A,6.충남/충북,충남액세스운용센터,천안운용팀,천안,0622232788
257,대상,0622050769,#N/A,6.충남/충북,충남액세스운용센터,홍성운용팀,예산,0622050769
258,대상,0622053310,#N/A,6.충남/충북,충남액세스운용센터,홍성운용팀,홍성,0622053310
260,대상,0622066529,#N/A,6.충남/충북,충남액세스운용센터,서산운용팀,서산,0622066529
261,대상,0622068037,#N/A,6.충남/충북,충남액세스운용센터,보령운용팀,보령,0622068037
262,대상,0622053150,#N/A,6.충남/충북,충남액세스운용센터,보령운용팀,부여,0622053150
263,대상,1316117759,#N/A,6.충남/충북,충북액세스운용센터,청주운용팀,남청주,1316117759
264,대상,1316027687,estate,6.충남/충북,충북액세스운용센터,청주운용팀,상당,1316027687
267,대상,1316029122,#N/A,6.충남/충북,충북액세스운용센터,서청주운용팀,진천,1316029122
268,대상,1316035213,#N/A,6.충남/충북,충북액세스운용센터,옥천운용팀,옥천,1316035213
269,대상,1316020292,#N/A,6.충남/충북,충북액세스운용센터,충주운용팀,금왕,1316020292
270,대상,1316031574,#N/A,6.충남/충북,충북액세스운용센터,충주운용팀,충주,1316031574
271,대상,1316025368,#N/A,6.충남/충북,충북액세스운용센터,제천운용팀,제천,1316025368
272,대상,0806008565,#N/A,제주단,네트워크운용센터,전원운용팀,서귀포,0806008565
274,대상,0806020541,#N/A,제주단,네트워크운용센터,전원운용팀,신서귀포,0806020541
275,대상,0806018974,#N/A,제주단,네트워크운용센터,전원운용팀,신제주,0806018974
276,대상,0806019517,#N/A,제주단,네트워크운용센터,전원운용팀,제주,0806019517
277,대상,0806016761,estate,제주단,네트워크운용센터,전원운용팀,한림,0806016761
278,대상,0422208747,비통신,비통신,기타,기타,김해GDC,0422208747
280,대상,0135422923,비통신,비통신,기타,기타,우면연구센터,0135422923
281,대상,0227067893,#N/A,1.강북/강원,기타,기타,화성송신소,0227067893
